name,originalName,pzn,description,category,image,url
Acute Lip Balm,Acute Lip Balm,6336209,"Hochwirksamer Lippenbalsam, der trockene und rissige Lippen (auch eingerissene Mundwinkel) sowie die gesamte Mundpartie sofort beruhigt und regeneriert.",Special,http://www.eucerin.de/~/media/Eucerin/local/de/products/urea/63641-PS-Omega-product-header-Acute_Lip_Balm_PS_AT.png?mh=150&mw=81&rh=1&z=1,http://www.eucerin.de/produkte/urea/acute-lip-balm
Anti-rose trattamento lenitivo notte,AntiRötungen Beruhigende Pflege,10268666,Tages- und Nachtpflege für sofortige Beruhigung sehr empfindlicher und geröteter Haut.,Care,http://www.eucerin.de/~/media/Eucerin/local/de/products/hyper-sensitive/Packshots/Hyper_Sens_AntiRoetung_beruhigend_png.png?mh=150&mw=81&rh=1&z=1,http://www.eucerin.de/produkte/sehr-empfindliche-haut/antiroetungen-beruhigende-pflege
Anti-rose Trattamento leitivo giorno neutralizzante FP25,AntiRötungen Kaschierende Tagespflege mit LSF 25,10268643,Reduziert Rötungen. Sofortiges und langanhaltendes Wohlgefühl der Haut. Mit ausgleichenden Grünpigmenten und LSF 25 + UVA-Schutz.,Care,http://www.eucerin.de/~/media/Eucerin/local/de/products/hyper-sensitive/Packshots/Hyper_Sens_AntiRoetung_kaschierend_png.png?mh=150&mw=81&rh=1&z=1,http://www.eucerin.de/produkte/sehr-empfindliche-haut/antiroetungen-kaschierende-tagespflege-lsf-25
AQUAporin ACTIVE Crema Rinfrescante Rich,AQUAporin Active Erfrischende Lotion Reichhaltig,9012967,"schnell einziehende Körperpflege, versorgt die Haut optimal mit Feuchtigkeit bis in die tieferen Schichten.",Care,http://www.eucerin.de/~/media/Eucerin/local/de/products/aquaporin-active/63962-PS-AquaPorin-Active-product-header-refreshing-balm-lotion-AT.png?mh=150&mw=215&rh=1&z=1,http://www.eucerin.de/produkte/aquaporin-active/erfrischende-balm-lotion-reichhaltig
AQUAporin ACTIVE für normale Haut bis Mischhaut,AQUAporin ACTIVE für normale Haut bis Mischhaut,10961350,"schnell einziehende Gesichtspflege, versorgt die Haut optimal mit Feuchtigkeit bis in die tieferen Schichten.",Care,http://www.eucerin.de/~/media/Eucerin/local/de/products/aquaporin-active/63881-PS-AquaPorin-Active-product-header-moisturising-cream-light-AT_v2.png?mh=150&mw=81&rh=1&z=1,http://www.eucerin.de/produkte/aquaporin-active/normale-haut-bis-mischhaut
AQUAporin ACTIVE für trockene Haut,AQUAporin ACTIVE für trockene Haut,10961396,"intensiv pflegende Gesichtscreme, versorgt die Haut optimal mit Feuchtigkeit bis in die tieferen Schichten.",Care,http://www.eucerin.de/~/media/Eucerin/local/de/products/aquaporin-active/63882-PS-AquaPorin-Active-product-header-moisturising-cream-rich-AT_v2.png?mh=150&mw=81&rh=1&z=1,http://www.eucerin.de/produkte/aquaporin-active/trockene-haut
AQUAporin ACTIVE LSF 25+ UVA-Schutz,AQUAporin ACTIVE LSF 25+ UVA-Schutz,10961404,"schnell einziehende Gesichtspflege mit UV Schutz, versorgt die Haut optimal mit Feuchtigkeit bis in die tieferen Schichten.",Care,http://www.eucerin.de/~/media/Eucerin/local/de/products/aquaporin-active/69781-EUCERIN-INT-Aquaporin-product-header-Day_LSF_25.png?mh=150&mw=81&rh=1&z=1,http://www.eucerin.de/produkte/aquaporin-active/feuchtigkeitspflege-mit-lsf-25-uva-schutz
AQUAporin ACTIVE revitalisierende Augenpflege,AQUAporin ACTIVE revitalisierende Augenpflege,10961410,versorgt die Haut optimal mit Feuchtigkeit bis in die tieferen Schichten.,Care,http://www.eucerin.de/~/media/Eucerin/local/de/products/aquaporin-active/69782-EUCERIN-INT-Aquaporin-product-header-EyeCare.png?mh=150&mw=81&rh=1&z=1,http://www.eucerin.de/produkte/aquaporin-active/augenpflege
AtopiControl Crema Fasi Acute,AtopiControl Akutpflege Creme,8454781,"Mit regenerierenden, juckreizlindernden, antibakteriellen und kühlenden Inhaltsstoffen.",Special,http://www.eucerin.de/~/media/Eucerin/local/de/products/atopicontrol/63174-EUCERIN-INT-AtopiControl-product-header_Acute_Care_Creme_PS_KORR.png?mh=150&mw=215&rh=1&z=1,http://www.eucerin.de/produkte/atopicontrol/akutpflege-creme
AtopiControl Spray anti-prurito,AtopiControl Anti-Juckreiz Spray,8454798,Lindert sofort den Juckreiz und beruhigt die Haut. Akutpflege bei Neurodermitis.,Special,http://www.eucerin.de/~/media/Eucerin/local/de/products/atopicontrol/AtopiControl-Anti-Juckreiz-Spray-Flasche.png?mh=150&mw=81&rh=1&z=1,http://www.eucerin.de/produkte/atopicontrol/anti-juckreiz-spray
AtopiControl Crema Parti (Zone) Specifiche,AtopiControl Creme,8454723,"für den Körper zur täglichen lokalen Pflege (z.B. Armbeugen), glättet raue, rissige Haut  mindert Rötungen und Entzündungen, lindert Juckreiz. Basispflege bei Neurodermitis.",Care,http://www.eucerin.de/~/media/Eucerin/local/de/products/atopicontrol/63363-PS-AtopiControl-product-header_Care_Creme-AT.png?mh=150&mw=81&rh=1&z=1,http://www.eucerin.de/produkte/atopicontrol/creme
AtopiControl Olio Detergente,AtopiControl Dusch- und Badeöl,8454775,"wirkt intensiv rückfettend, vermindert das Spannungsgefühl der Haut, lindert Juckreiz. Auch bei Neurodermitis geeignet.",Cleaning,http://www.eucerin.de/~/media/Eucerin/local/de/products/atopicontrol/63173-PS-AtopiControl-product-header_Cleansing_Oil-AT.png?mh=150&mw=81&rh=1&z=1,http://www.eucerin.de/produkte/atopicontrol/dusch-und-badeoel
AtopiControl Crema Viso,AtopiControl Gesichtscreme,8454746,"glättet raue, rissige Haut, mindert Rötungen und Entzündungen, lindert Juckreiz. Auch zur Anwendung im Augenbereich. Basispflege bei Neurodermitis.",Care,http://www.eucerin.de/~/media/Eucerin/local/de/products/atopicontrol/63614-PS-AtopiControl-product-header_Face_Care_Creme-AT.png?mh=150&mw=81&rh=1&z=1,http://www.eucerin.de/produkte/atopicontrol/gesichtscreme
AtopiControl Emulsione Corpo,AtopiControl Lotion,8454700,"Körperpflege, glättet raue, rissige Haut  mindert Rötungen und Entzündungen, lindert Juckreiz. Basispflege bei Neurodermitis.",Care,http://www.eucerin.de/~/media/Eucerin/local/de/products/atopicontrol/63366-PS-AtopiControl-product-header_Body_Care_Lotion_250ml-AT.png?mh=150&mw=81&rh=1&z=1,http://www.eucerin.de/produkte/atopicontrol/lotion
Complete Repair Emulsione Intensiva,UreaRepair PLUS Lotion 10%,8884168,"repariert extrem trockene, zu Juckreiz und Schuppung neigende Haut.",Care,http://www.eucerin.de/~/media/Eucerin/local/de/products/complete-repair/69617-PS-Complete-Repair-product-header-intensiv-lotion-AT.png?mh=150&mw=81&rh=1&z=1,http://www.eucerin.de/produkte/complete-repair/intensiv-lotion
Complete Repair Emulsione Idratante,UreaRepair PLUS Lotion 5%,8884151,"repariert trockene, raue und gespannte Haut.",Care,http://www.eucerin.de/~/media/Eucerin/local/de/products/complete-repair/69620-EUCERIN-INT-Complete-Repair-product-header-moisture-lotion-AT.png?mh=150&mw=81&rh=1&z=1,http://www.eucerin.de/produkte/complete-repair/feuchtigkeitsspende-lotion
DermatoCLEAN Lozione struccante micellare 3-in-1,DermatoClean 3 in 1 Reinigungsfluid,7385167,"Reinigungsfluid, Gesichtswasser und wasserlöslicher Augen-Make-up-Entferner.",Cleaning,http://www.eucerin.de/~/media/Eucerin/local/de/products/dermato-clean/63997-PS-DermatoCLEAN-product-header-cleansing-fluid-AT.png?mh=150&mw=81&rh=1&z=1,http://www.eucerin.de/produkte/urea-repair/plus-lotion-5prozent-urea
DermatoCLEAN Gel detergente rinfrescante,DermatoClean Erfrischendes Reinigungsgel,7385115,reinigt die Gesichtshaut gründlich und sanft.,Cleaning,http://www.eucerin.de/~/media/Eucerin/local/de/products/dermato-clean/63993-PS-DermatoCLEAN-product-header-refreshing-cleansing-gel-AT.png?mh=150&mw=81&rh=1&z=1,http://www.eucerin.de/produkte/dermato-clean/erfrischendes-reinigungsgel
DermatoCLEAN Tonico rivelatore di luminosita,DermatoClean Klärendes Gesichtswasser,7385144,klärt und erfrischt die Gesichtshaut.,Cleaning,http://www.eucerin.de/~/media/Eucerin/local/de/products/dermato-clean/63995-PS-DermatoCLEAN-product-header-clarifying-toner-AT.png?mh=150&mw=81&rh=1&z=1,http://www.eucerin.de/produkte/dermato-clean/klaerendes-gesichtswasser
DermatoCLEAN Latte detergente delicato,DermatoClean Sanfte Reinigungsmilch,7385121,reinigt die Gesichtshaut gründlich und sanft.,Cleaning,http://www.eucerin.de/~/media/Eucerin/local/de/products/dermato-clean/63991-PS-DermatoCLEAN-product-header-mild-claensing-milk-AT.png?mh=150&mw=81&rh=1&z=1,http://www.eucerin.de/produkte/dermato-clean/sanfte-reinigungsmilch
